tahun,jumlah_pengguna_internet,jumlah_penduduk_indonesia,penetrasi,komentar
2005,16000000,206300000,7.755695589,Diperoleh dari data survei APJII 2014
2006,20000000,212700000,9.402914904,Diperoleh dari data survei APJII 2014
2007,20000000,219200000,9.124087591,Diperoleh dari data survei APJII 2014
2008,25000000,225600000,11.08156028,Diperoleh dari data survei APJII 2014
2009,30000000,232100000,12.92546316,Diperoleh dari data survei APJII 2014
2010,42000000,238500000,17.61006289,Diperoleh dari data survei APJII 2014
2011,55000000,242000000,22.72727273,Diperoleh dari data survei APJII 2014
2012,63000000,245500000,25.66191446,Diperoleh dari data survei APJII 2014
2013,71190000,248900000,28.60184813,Diperoleh dari data survei APJII 2014
2014,88100000,252400000,34.90491284,Diperoleh dari data survei APJII 2014
2015,110200000,258400000,42.64705882,Diperoleh dari data survei APJII 2017
2016,132700000,256200000,51.79547229,Diperoleh dari data survei APJII 2016
2017,143260000,262000000,54.67938931,Diperoleh dari data survei APJII 2017
2018,171176716,264161600,64.7999997,Diperoleh dari data survei APJII 2018
2020,196714070,266911900,73.69999989,Diperoleh dari data survei APJII 2019-2020 [Q2]